ID_Ponto,Data,Temperatura_Media_C,Precipitacao_Diaria_mm,Umidade_Relativa_Pct,Radiacao_Solar_MJm2,Evapotranspiracao_mm,Qualidade_Ar_IQAr,Emissao_CO2_gm2,NDVI,EVI,Umidade_Solo_Pct,Crescimento_Acumulado_cm,Crescimento_Semanal_cm,Crescimento_Mensal_cm,Especie_Predominante,Tipo_Solo,Declividade_Pct,Altitude_m,Orientacao_Encosta,Data_Ultima_Poda,Dias_Desde_Poda,Intensidade_Ultima_Poda,Dia_Ano,Semana_Ano,Mes,Estacao,Chuva_Acum_7d_mm,Chuva_Acum_15d_mm,Chuva_Acum_30d_mm,Temp_Media_7d_C,Temp_Media_15d_C,Temp_Media_30d_C,Dias_Sem_Chuva
RODO_KM_01,2023-01-01,24.3,1.8,55.7,20.7,4.63,36,445.0,0.4,0.24,8.0,4.8,4.9,20.1,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2022-10-21,72,Severa,1,52,1,Verão,1.8,1.8,1.8,24.3,24.3,24.3,0
RODO_KM_01,2023-01-02,26.0,43.7,60.2,8.6,3.26,42,450.0,0.49,0.33,15.6,5.5,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2022-10-21,73,Severa,2,1,1,Verão,45.5,45.5,45.5,25.1,25.1,25.1,0
RODO_KM_01,2023-01-03,23.8,0.0,63.3,19.0,4.43,40,431.5,0.48,0.31,14.8,6.2,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2022-10-21,74,Severa,3,1,1,Verão,45.5,45.5,45.5,24.7,24.7,24.7,1
RODO_KM_01,2023-01-04,21.6,16.9,63.3,16.4,3.52,35,439.4,0.55,0.36,21.0,7.0,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2022-10-21,75,Severa,4,1,1,Verão,62.4,62.4,62.4,23.9,23.9,23.9,0
RODO_KM_01,2023-01-05,22.2,0.0,70.4,22.8,4.21,38,455.5,0.57,0.37,21.9,7.8,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2022-10-21,76,Severa,5,1,1,Verão,62.4,62.4,62.4,23.6,23.6,23.6,1
RODO_KM_01,2023-01-06,25.5,4.2,58.0,18.7,4.66,30,443.1,0.54,0.36,19.9,8.6,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2022-10-21,77,Severa,6,1,1,Verão,66.6,66.6,66.6,23.9,23.9,23.9,0
RODO_KM_01,2023-01-07,22.3,13.3,68.1,19.4,4.27,37,419.1,0.56,0.37,22.1,9.3,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2022-10-21,78,Severa,7,1,1,Verão,79.9,79.9,79.9,23.7,23.7,23.7,0
RODO_KM_01,2023-01-08,26.3,3.5,63.8,19.5,4.65,34,480.3,0.53,0.35,19.5,13.8,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,0,Leve,8,1,1,Verão,81.6,83.4,83.4,24.0,24.0,24.0,0
RODO_KM_01,2023-01-09,22.5,0.0,62.5,22.8,4.64,37,449.1,0.59,0.38,24.3,0.8,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,1,Leve,9,2,1,Verão,37.9,83.4,83.4,23.5,23.8,23.8,1
RODO_KM_01,2023-01-10,26.2,3.1,64.1,20.6,4.18,36,437.3,0.58,0.38,22.7,1.6,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,2,Leve,10,2,1,Verão,41.0,86.5,86.5,23.8,24.1,24.1,0
RODO_KM_01,2023-01-11,25.0,0.0,53.8,22.4,4.9,26,430.8,0.62,0.4,21.9,2.4,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,3,Leve,11,2,1,Verão,24.1,86.5,86.5,24.3,24.2,24.2,1
RODO_KM_01,2023-01-12,25.3,8.1,63.8,20.7,4.75,30,457.0,0.58,0.4,21.3,3.1,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,4,Leve,12,2,1,Verão,32.2,94.6,94.6,24.7,24.2,24.2,0
RODO_KM_01,2023-01-13,22.0,10.7,63.0,16.5,3.7,29,441.9,0.66,0.42,27.1,3.9,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,5,Leve,13,2,1,Verão,38.7,105.3,105.3,24.2,24.1,24.1,0
RODO_KM_01,2023-01-14,23.7,0.0,60.4,22.8,4.84,39,467.3,0.66,0.43,31.7,4.7,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,6,Leve,14,2,1,Verão,25.4,105.3,105.3,24.4,24.1,24.1,1
